sensor,x_gt,y_gt,vx_gt,vy_gt,yaw_gt,yawdot_gt,px,py,vx,vy,yaw,yawdot,NIS
R,27.1331,-4.0319,3.4040,3.9302,-2.2846,0.5496,27.1148,-4.1189,3.5673,3.7545,-2.3306,0.4788,4.6764
L,27.3006,-3.8330,3.2950,4.0225,-2.2571,0.5498,27.3323,-3.9038,3.5263,3.8887,-2.3074,0.4776,3.0428
R,27.4625,-3.6297,3.1832,4.1117,-2.2296,0.5500,27.4933,-3.6940,3.3438,4.0012,-2.2669,0.5042,4.7314
L,27.6188,-3.4219,3.0690,4.1977,-2.2021,0.5500,27.6791,-3.4925,3.2727,4.0861,-2.2461,0.5000,0.7724
R,27.7694,-3.2099,2.9524,4.2805,-2.1746,0.5500,27.8333,-3.2698,3.1163,4.1980,-2.2094,0.5174,2.5232
L,27.9140,-2.9939,2.8335,4.3599,-2.1471,0.5498,27.9653,-3.0190,2.9597,4.3404,-2.1693,0.5305,1.4215
R,28.0527,-2.7740,2.7124,4.4359,-2.1196,0.5496,28.1046,-2.7944,2.8284,4.4265,-2.1394,0.5344,0.3041
L,28.1853,-2.5504,2.5893,4.5083,-2.0921,0.5493,28.2117,-2.5435,2.6513,4.5416,-2.0992,0.5468,1.9735
R,28.3116,-2.3232,2.4643,4.5772,-2.0647,0.5489,28.3194,-2.3039,2.4434,4.6299,-2.0564,0.5702,1.5387
L,28.4317,-2.0927,2.3374,4.6425,-2.0372,0.5484,28.4623,-2.1028,2.3603,4.6496,-2.0405,0.5587,1.4026
R,28.5453,-1.8590,2.2089,4.7041,-2.0098,0.5479,28.5975,-1.8804,2.2971,4.6959,-2.0258,0.5400,1.0333
L,28.6526,-1.6223,2.0788,4.7620,-1.9824,0.5472,28.7268,-1.6565,2.2008,4.7388,-2.0056,0.5337,0.5808
R,28.7532,-1.3828,1.9474,4.8161,-1.9550,0.5465,28.8295,-1.4256,2.1041,4.7815,-1.9853,0.5210,3.7665
L,28.8473,-1.1407,1.8147,4.8664,-1.9277,0.5457,28.9374,-1.1460,1.9722,4.8993,-1.9535,0.5259,0.7737
R,28.9347,-0.8962,1.6808,4.9128,-1.9004,0.5448,29.0169,-0.8954,1.8330,4.9536,-1.9252,0.5244,4.2323
L,29.0154,-0.6494,1.5460,4.9554,-1.8732,0.5438,29.0918,-0.6428,1.6807,5.0038,-1.8948,0.5282,0.2955
R,29.0893,-0.4006,1.4102,4.9941,-1.8460,0.5427,29.1400,-0.3773,1.4455,5.0640,-1.8488,0.5563,2.4504
L,29.1564,-0.1500,1.2738,5.0289,-1.8189,0.5415,29.1920,-0.1861,1.3053,4.9995,-1.8262,0.5524,2.4633
R,29.2167,0.1023,1.1368,5.0598,-1.7918,0.5403,29.2565,0.0791,1.1294,5.0572,-1.7905,0.5675,5.4811
L,29.2701,0.3560,0.9994,5.0868,-1.7648,0.5389,29.3051,0.3518,0.9713,5.1162,-1.7584,0.5707,0.1875
R,29.3166,0.6110,0.8616,5.1099,-1.7378,0.5375,29.3486,0.6115,0.8318,5.1468,-1.7310,0.5673,0.7255
L,29.3563,0.8670,0.7237,5.1291,-1.7110,0.5360,29.4137,0.7986,0.7535,5.0643,-1.7185,0.5537,3.2127
R,29.3890,1.1239,0.5857,5.1444,-1.6842,0.5344,29.4329,1.0674,0.5564,5.1028,-1.6794,0.5705,2.8887
L,29.4149,1.3815,0.4479,5.1558,-1.6574,0.5327,29.4758,1.3486,0.4293,5.1606,-1.6538,0.5674,1.0059
R,29.4338,1.6396,0.3103,5.1635,-1.6308,0.5310,29.5104,1.6103,0.3042,5.1798,-1.6295,0.5644,2.4248
L,29.4459,1.8979,0.1730,5.1673,-1.6043,0.5291,29.5076,1.8686,0.1362,5.1819,-1.5971,0.5682,0.3328
R,29.4512,2.1564,0.0362,5.1674,-1.5778,0.5272,29.4992,2.1252,-0.0636,5.1752,-1.5585,0.5858,1.9915
L,29.4496,2.4147,-0.0999,5.1637,-1.5515,0.5252,29.4802,2.4476,-0.2576,5.2653,-1.5219,0.5915,2.0805
R,29.4412,2.6728,-0.2353,5.1564,-1.5252,0.5231,29.4619,2.7071,-0.4198,5.2493,-1.4910,0.5940,0.3044
L,29.4260,2.9305,-0.3699,5.1455,-1.4990,0.5209,29.4811,3.0242,-0.5258,5.3304,-1.4725,0.5828,5.3621
R,29.4042,3.1875,-0.5034,5.1311,-1.4730,0.5186,29.4480,3.2910,-0.6537,5.3157,-1.4484,0.5709,3.4689
L,29.3757,3.4437,-0.6359,5.1131,-1.4471,0.5163,29.4386,3.5071,-0.7471,5.2273,-1.4288,0.5637,1.9846
R,29.3406,3.6989,-0.7672,5.0917,-1.4212,0.5139,29.3915,3.7682,-0.8920,5.2044,-1.4011,0.5605,1.1418
L,29.2990,3.9530,-0.8972,5.0670,-1.3956,0.5114,29.3299,3.9480,-1.0337,5.0521,-1.3690,0.5656,3.9699
R,29.2509,4.2057,-1.0257,5.0390,-1.3700,0.5088,29.3118,4.2013,-1.0843,5.0361,-1.3587,0.5408,2.9623
L,29.1964,4.4570,-1.1528,5.0078,-1.3445,0.5061,29.2244,4.4159,-1.2550,4.9417,-1.3221,0.5500,2.4692
R,29.1356,4.7066,-1.2782,4.9734,-1.3192,0.5034,29.1525,4.6617,-1.3906,4.9042,-1.2945,0.5480,0.7776
L,29.0686,4.9544,-1.4019,4.9361,-1.2941,0.5006,29.0618,4.9378,-1.5604,4.9080,-1.2630,0.5512,0.8290
R,28.9954,5.2003,-1.5239,4.8958,-1.2690,0.4977,28.9973,5.1827,-1.6201,4.8747,-1.2499,0.5263,2.6327
L,28.9162,5.4442,-1.6440,4.8527,-1.2442,0.4947,28.9607,5.4072,-1.6715,4.8154,-1.2367,0.5150,3.3802
R,28.8310,5.6858,-1.7621,4.8068,-1.2194,0.4916,28.8568,5.6629,-1.8339,4.7898,-1.2051,0.5220,6.7381
L,28.7399,5.9250,-1.8782,4.7582,-1.1948,0.4885,28.7626,5.9148,-1.9607,4.7617,-1.1802,0.5208,0.1060
R,28.6431,6.1617,-1.9922,4.7071,-1.1704,0.4853,28.6379,6.1588,-2.1382,4.7105,-1.1447,0.5330,3.5439
L,28.5407,6.3959,-2.1041,4.6536,-1.1461,0.4820,28.5326,6.3822,-2.2532,4.6369,-1.1185,0.5328,0.0734
R,28.4327,6.6272,-2.2138,4.5977,-1.1221,0.4786,28.4616,6.6293,-2.3017,4.6166,-1.1083,0.5155,11.8000
L,28.3192,6.8558,-2.3212,4.5395,-1.0981,0.4752,28.3672,6.8167,-2.3753,4.4974,-1.0849,0.5141,1.3655
R,28.2005,7.0813,-2.4263,4.4792,-1.0744,0.4716,28.2492,7.0335,-2.4568,4.4306,-1.0645,0.5032,2.3142
L,28.0765,7.3039,-2.5290,4.4169,-1.0508,0.4680,28.1155,7.3420,-2.5974,4.5038,-1.0477,0.4942,4.0664
R,27.9475,7.5232,-2.6293,4.3526,-1.0274,0.4644,27.9800,7.5725,-2.7160,4.4480,-1.0226,0.4949,0.9527
L,27.8135,7.7393,-2.7272,4.2866,-1.0042,0.4606,27.8524,7.7851,-2.8072,4.3699,-0.9998,0.4934,0.1731
R,27.6747,7.9520,-2.8226,4.2188,-0.9811,0.4568,27.6973,8.0008,-2.9353,4.2934,-0.9711,0.4976,0.7946
L,27.5312,8.1613,-2.9156,4.1494,-0.9583,0.4529,27.5340,8.2146,-3.0624,4.2165,-0.9426,0.5007,0.2907
R,27.3831,8.3671,-3.0060,4.0785,-0.9356,0.4490,27.3570,8.4047,-3.2447,4.0887,-0.9000,0.5281,4.0081
L,27.2305,8.5694,-3.0939,4.0062,-0.9132,0.4450,27.2138,8.5699,-3.3110,3.9500,-0.8732,0.5293,1.0349
R,27.0736,8.7679,-3.1792,3.9327,-0.8909,0.4409,27.0434,8.7735,-3.4359,3.8698,-0.8447,0.5345,1.7851
L,26.9125,8.9628,-3.2620,3.8579,-0.8689,0.4367,26.8117,9.0566,-3.6433,3.9048,-0.8200,0.5305,6.7545
R,26.7473,9.1539,-3.3422,3.7822,-0.8471,0.4325,26.6271,9.2436,-3.7063,3.8086,-0.7990,0.5173,4.5597
L,26.5781,9.3412,-3.4199,3.7054,-0.8254,0.4282,26.4351,9.3759,-3.7978,3.6194,-0.7614,0.5288,1.9363
R,26.4052,9.5246,-3.4950,3.6278,-0.8040,0.4238,26.2806,9.5730,-3.7818,3.5773,-0.7576,0.4955,3.5993
L,26.2285,9.7041,-3.5676,3.5494,-0.7828,0.4193,26.0945,9.7841,-3.8686,3.5407,-0.7412,0.4874,0.8288
R,26.0483,9.8797,-3.6376,3.4704,-0.7619,0.4148,25.9220,9.9810,-3.8523,3.5111,-0.7391,0.4514,5.8945
L,25.8646,10.0514,-3.7051,3.3909,-0.7411,0.4103,25.7587,10.0886,-3.8746,3.3232,-0.7089,0.4598,2.6166
R,25.6776,10.2190,-3.7702,3.3109,-0.7206,0.4056,25.5614,10.2541,-3.9729,3.2292,-0.6825,0.4672,1.0351
L,25.4875,10.3826,-3.8327,3.2305,-0.7003,0.4009,25.3835,10.3341,-3.9985,3.0119,-0.6456,0.4810,3.1911
R,25.2942,10.5422,-3.8928,3.1499,-0.6803,0.3962,25.1855,10.5026,-4.0458,2.9561,-0.6310,0.4672,4.4218
L,25.0980,10.6978,-3.9504,3.0691,-0.6605,0.3913,24.9666,10.6576,-4.1369,2.8728,-0.6070,0.4675,0.2915
R,24.8990,10.8493,-4.0057,2.9882,-0.6409,0.3865,24.7669,10.8071,-4.1444,2.8071,-0.5953,0.4468,3.2598
L,24.6973,10.9967,-4.0586,2.9073,-0.6216,0.3815,24.5677,10.9289,-4.1896,2.6890,-0.5706,0.4493,0.1768
R,24.4930,11.1402,-4.1092,2.8265,-0.6025,0.3765,24.3715,11.0867,-4.2310,2.6416,-0.5581,0.4395,6.5382
L,24.2862,11.2795,-4.1575,2.7459,-0.5837,0.3714,24.1788,11.2373,-4.2637,2.5873,-0.5454,0.4311,1.2058
R,24.0771,11.4149,-4.2035,2.6655,-0.5651,0.3663,23.9690,11.3528,-4.3266,2.4699,-0.5187,0.4395,2.4447
L,23.8657,11.5462,-4.2474,2.5855,-0.5468,0.3611,23.7663,11.4078,-4.3446,2.2671,-0.4809,0.4549,2.2299
R,23.6522,11.6736,-4.2891,2.5059,-0.5288,0.3559,23.5668,11.5278,-4.3397,2.1983,-0.4689,0.4393,1.0235
L,23.4366,11.7970,-4.3287,2.4268,-0.5110,0.3506,23.3427,11.6661,-4.4021,2.1526,-0.4548,0.4316,0.4888
R,23.2191,11.9164,-4.3662,2.3482,-0.4934,0.3452,23.1249,11.7811,-4.4319,2.0794,-0.4387,0.4240,0.6154
L,22.9998,12.0319,-4.4017,2.2702,-0.4762,0.3398,22.8848,11.9199,-4.5070,2.0449,-0.4259,0.4156,0.7666
R,22.7788,12.1436,-4.4353,2.1930,-0.4592,0.3344,22.6765,12.0381,-4.5011,1.9966,-0.4175,0.3993,1.5579
L,22.5561,12.2513,-4.4670,2.1164,-0.4425,0.3288,22.4526,12.1379,-4.5377,1.9103,-0.3985,0.3985,0.0128
R,22.3319,12.3553,-4.4968,2.0407,-0.4260,0.3233,22.2529,12.2486,-4.4754,1.8814,-0.3980,0.3687,3.7845
L,22.1062,12.4555,-4.5248,1.9659,-0.4099,0.3177,21.9856,12.3612,-4.5724,1.8277,-0.3803,0.3672,2.1531
R,21.8792,12.5520,-4.5511,1.8919,-0.3940,0.3120,21.7651,12.4572,-4.6036,1.7520,-0.3636,0.3675,1.8051
L,21.6509,12.6448,-4.5757,1.8190,-0.3784,0.3063,21.5322,12.5373,-4.6369,1.6574,-0.3433,0.3693,0.0376
R,21.4215,12.7340,-4.5988,1.7471,-0.3631,0.3005,21.3188,12.6249,-4.6052,1.6033,-0.3350,0.3533,1.9181
L,21.1909,12.8197,-4.6202,1.6762,-0.3480,0.2947,21.0978,12.8054,-4.6360,1.7000,-0.3515,0.3217,8.2712
R,20.9593,12.9018,-4.6401,1.6065,-0.3333,0.2888,20.8588,12.8911,-4.6994,1.6146,-0.3309,0.3310,2.2983
L,20.7267,12.9804,-4.6586,1.5379,-0.3189,0.2829,20.6647,12.9502,-4.6645,1.5064,-0.3124,0.3335,1.8731
R,20.4932,13.0557,-4.6757,1.4705,-0.3047,0.2770,20.4230,12.9903,-4.7562,1.3353,-0.2737,0.3660,6.8720
L,20.2589,13.1276,-4.6914,1.4044,-0.2909,0.2710,20.1860,13.0957,-4.7869,1.3189,-0.2689,0.3536,1.2394
R,20.0239,13.1962,-4.7059,1.3395,-0.2773,0.2650,19.9417,13.1745,-4.7833,1.2796,-0.2614,0.3373,4.0363
L,19.7882,13.2616,-4.7192,1.2759,-0.2641,0.2589,19.7448,13.1851,-4.7335,1.1145,-0.2312,0.3502,2.1125
R,19.5518,13.3239,-4.7313,1.2137,-0.2511,0.2528,19.5086,13.2654,-4.7409,1.0862,-0.2252,0.3366,4.0675
L,19.3149,13.3831,-4.7423,1.1529,-0.2385,0.2466,19.2144,13.3582,-4.8464,1.0713,-0.2175,0.3272,3.1582
R,19.0774,13.4392,-4.7523,1.0934,-0.2261,0.2404,18.9737,13.3959,-4.8574,0.9678,-0.1967,0.3313,1.5848
L,18.8395,13.4925,-4.7612,1.0354,-0.2141,0.2342,18.7470,13.4126,-4.8426,0.8370,-0.1712,0.3399,0.4974
R,18.6011,13.5429,-4.7693,0.9788,-0.2024,0.2279,18.4915,13.4528,-4.8773,0.7523,-0.1530,0.3412,1.3344
L,18.3624,13.5904,-4.7764,0.9237,-0.1910,0.2216,18.2781,13.5433,-4.8603,0.7668,-0.1565,0.3227,5.4900
R,18.1233,13.6353,-4.7828,0.8700,-0.1799,0.2153,18.0376,13.6141,-4.8315,0.7765,-0.1594,0.2968,5.2533
L,17.8839,13.6775,-4.7883,0.8179,-0.1692,0.2089,17.8179,13.6657,-4.8149,0.7304,-0.1505,0.2916,1.1704
R,17.6443,13.7172,-4.7932,0.7673,-0.1587,0.2025,17.5822,13.6998,-4.8445,0.6411,-0.1316,0.3009,3.1150
L,17.4044,13.7543,-4.7973,0.7182,-0.1486,0.1960,17.3331,13.7319,-4.8636,0.5709,-0.1169,0.3005,0.0505
R,17.1644,13.7890,-4.8009,0.6707,-0.1388,0.1896,17.0952,13.7737,-4.8700,0.5226,-0.1069,0.2964,1.8912
L,16.9242,13.8214,-4.8039,0.6248,-0.1293,0.1831,16.8604,13.8290,-4.8722,0.5041,-0.1031,0.2863,1.2100
R,16.6839,13.8516,-4.8063,0.5804,-0.1202,0.1765,16.6300,13.8368,-4.8442,0.4162,-0.0857,0.2870,4.3894
L,16.4434,13.8795,-4.8082,0.5376,-0.1114,0.1700,16.4374,13.8224,-4.7711,0.2907,-0.0608,0.2974,2.0811
R,16.2029,13.9054,-4.8097,0.4965,-0.1029,0.1634,16.2134,13.8516,-4.7201,0.2742,-0.0580,0.2794,1.5877
L,15.9623,13.9292,-4.8109,0.4569,-0.0947,0.1568,16.0078,13.8515,-4.6774,0.1883,-0.0402,0.2834,0.8351
R,15.7217,13.9511,-4.8116,0.4189,-0.0868,0.1501,15.7890,13.8578,-4.6334,0.1366,-0.0295,0.2760,2.2025
L,15.4810,13.9712,-4.8120,0.3826,-0.0793,0.1435,15.5346,13.8946,-4.6754,0.1250,-0.0267,0.2655,0.6518
R,15.2404,13.9895,-4.8122,0.3479,-0.0722,0.1368,15.3113,13.9084,-4.6703,0.0736,-0.0158,0.2647,2.0748
L,14.9997,14.0060,-4.8121,0.3148,-0.0653,0.1301,15.0940,13.9440,-4.6564,0.0673,-0.0145,0.2540,2.0118
R,14.7591,14.0210,-4.8118,0.2834,-0.0588,0.1233,14.8883,13.9358,-4.6293,-0.0199,0.0043,0.2625,7.9149
L,14.5184,14.0344,-4.8113,0.2536,-0.0527,0.1166,14.6078,13.9565,-4.7047,-0.0409,0.0087,0.2538,1.9758
R,14.2778,14.0464,-4.8107,0.2254,-0.0468,0.1098,14.3644,13.9480,-4.7124,-0.1071,0.0227,0.2545,0.8522
L,14.0373,14.0570,-4.8099,0.1989,-0.0413,0.1031,14.0553,13.9846,-4.8272,-0.0897,0.0186,0.2381,4.1702
R,13.7967,14.0663,-4.8091,0.1741,-0.0362,0.0963,13.7903,13.9831,-4.8321,-0.1119,0.0232,0.2250,9.7660
L,13.5563,14.0745,-4.8082,0.1509,-0.0314,0.0895,13.5412,13.9956,-4.8463,-0.1321,0.0272,0.2184,0.2480
