sensor,x_gt,y_gt,vx_gt,vy_gt,yaw_gt,yawdot_gt,px,py,vx,vy,yaw,yawdot,NIS
L,2.2369,16.6427,-3.3243,-3.8360,3.9983,0.3063,2.2642,16.7313,-3.0892,-3.8399,4.0349,0.4154,0.5597
R,2.0722,16.4497,-3.2681,-3.8900,4.0136,0.3005,2.0955,16.5342,-3.0292,-3.8725,4.0486,0.4043,5.0434
L,1.9103,16.2540,-3.2122,-3.9422,4.0287,0.2947,1.9367,16.3051,-2.9542,-3.9815,4.0740,0.4085,2.1927
R,1.7511,16.0557,-3.1566,-3.9926,4.0434,0.2888,1.7875,16.1273,-2.8802,-3.9711,4.0849,0.3957,1.1782
L,1.5947,15.8549,-3.1013,-4.0413,4.0578,0.2829,1.5869,15.9563,-2.9148,-3.9862,4.0810,0.3731,2.1326
R,1.4411,15.6517,-3.0464,-4.0883,4.0720,0.2770,1.4529,15.7284,-2.8189,-4.1237,4.1128,0.3902,1.7675
L,1.2902,15.4463,-2.9921,-4.1336,4.0858,0.2710,1.2800,15.5100,-2.7956,-4.1934,4.1244,0.3822,0.8909
R,1.1420,15.2386,-2.9383,-4.1773,4.0994,0.2650,1.1295,15.3163,-2.7420,-4.2038,4.1344,0.3718,1.1228
L,0.9965,15.0288,-2.8850,-4.2193,4.1126,0.2589,0.9206,15.0959,-2.7954,-4.2646,4.1322,0.3513,2.7728
R,0.8536,14.8169,-2.8325,-4.2598,4.1256,0.2528,0.7845,14.9144,-2.7230,-4.2199,4.1393,0.3368,2.8276
L,0.7133,14.6030,-2.7806,-4.2986,4.1382,0.2466,0.6744,14.7013,-2.6069,-4.2673,4.1640,0.3443,0.2439
R,0.5756,14.3872,-2.7295,-4.3360,4.1506,0.2404,0.5574,14.4626,-2.5069,-4.3803,4.1926,0.3585,1.4881
L,0.4405,14.1696,-2.6792,-4.3718,4.1626,0.2342,0.3842,14.2395,-2.5191,-4.4295,4.1953,0.3436,1.1149
R,0.3078,13.9502,-2.6298,-4.4062,4.1743,0.2279,0.2559,13.9897,-2.4444,-4.5733,4.2215,0.3583,2.9348
L,0.1775,13.7292,-2.5813,-4.4391,4.1857,0.2216,0.2273,13.7450,-2.1850,-4.6322,4.2716,0.3893,3.5297
R,0.0497,13.5065,-2.5338,-4.4706,4.1968,0.2153,0.1193,13.5027,-2.0946,-4.7249,4.2951,0.3963,1.0684
L,-0.0758,13.2823,-2.4873,-4.5008,4.2075,0.2089,-0.0415,13.2708,-2.1131,-4.7628,4.2948,0.3767,1.3837
R,-0.1990,13.0566,-2.4418,-4.5296,4.2180,0.2025,-0.1553,13.0518,-2.0485,-4.7369,4.3042,0.3645,1.1033
L,-0.3199,12.8295,-2.3974,-4.5570,4.2281,0.1960,-0.1716,12.8288,-1.8085,-4.7463,4.3483,0.3902,3.4436
R,-0.4387,12.6011,-2.3541,-4.5833,4.2379,0.1896,-0.2841,12.6024,-1.7633,-4.7170,4.3547,0.3734,3.3909
L,-0.5553,12.3714,-2.3120,-4.6082,4.2474,0.1831,-0.3998,12.3662,-1.7307,-4.7515,4.3631,0.3633,0.3630
R,-0.6698,12.1404,-2.2711,-4.6320,4.2565,0.1765,-0.5138,12.1568,-1.7073,-4.7138,4.3649,0.3452,3.9086
L,-0.7823,11.9083,-2.2314,-4.6546,4.2653,0.1700,-0.5936,11.9378,-1.6232,-4.7192,4.3811,0.3445,0.5355
R,-0.8929,11.6751,-2.1930,-4.6760,4.2738,0.1634,-0.7094,11.7092,-1.6127,-4.7163,4.3829,0.3276,3.0111
L,-1.0016,11.4409,-2.1559,-4.6963,4.2820,0.1568,-0.8938,11.4627,-1.7336,-4.7588,4.3630,0.2918,4.9610
R,-1.1085,11.2057,-2.1202,-4.7155,4.2899,0.1501,-0.9851,11.2384,-1.6827,-4.7014,4.3687,0.2774,3.3446
L,-1.2136,10.9695,-2.0858,-4.7336,4.2974,0.1435,-1.1563,11.0083,-1.7869,-4.7164,4.3502,0.2459,3.4794
R,-1.3171,10.7324,-2.0527,-4.7508,4.3045,0.1368,-1.2401,10.7649,-1.7166,-4.7795,4.3676,0.2539,0.8498
L,-1.4189,10.4945,-2.0211,-4.7669,4.3114,0.1301,-1.3714,10.5094,-1.7444,-4.8228,4.3653,0.2390,1.3824
R,-1.5192,10.2559,-1.9909,-4.7820,4.3179,0.1233,-1.4611,10.2490,-1.6883,-4.8931,4.3801,0.2440,1.1660
L,-1.6180,10.0165,-1.9622,-4.7962,4.3240,0.1166,-1.5623,10.0378,-1.6687,-4.8681,4.3822,0.2346,2.2565
R,-1.7154,9.7764,-1.9350,-4.8094,4.3299,0.1098,-1.6466,9.8100,-1.6217,-4.8421,4.3892,0.2278,0.6765
L,-1.8115,9.5356,-1.9092,-4.8217,4.3354,0.1031,-1.7268,9.5891,-1.5698,-4.8313,4.3982,0.2259,0.8087
R,-1.9063,9.2943,-1.8850,-4.8332,4.3405,0.0963,-1.8353,9.3386,-1.5713,-4.8841,4.4011,0.2198,2.7630
L,-2.0000,9.0524,-1.8623,-4.8437,4.3453,0.0895,-1.9234,9.0458,-1.5332,-4.9671,4.4130,0.2200,3.9826
R,-2.0926,8.8100,-1.8412,-4.8535,4.3498,0.0826,-2.0047,8.8245,-1.5013,-4.9098,4.4156,0.2082,2.0674
L,-2.1841,8.5672,-1.8216,-4.8624,4.3539,0.0758,-2.1041,8.5717,-1.4992,-4.9369,4.4176,0.1999,0.3690
R,-2.2747,8.3239,-1.8037,-4.8705,4.3577,0.0689,-2.2273,8.3191,-1.5490,-4.9517,4.4092,0.1807,3.4289
L,-2.3645,8.0802,-1.7873,-4.8778,4.3612,0.0621,-2.2811,8.0853,-1.4611,-4.9449,4.4251,0.1875,0.4836
R,-2.4535,7.8362,-1.7725,-4.8843,4.3643,0.0552,-2.3435,7.8741,-1.4039,-4.8902,4.4328,0.1843,5.4809
L,-2.5418,7.5918,-1.7593,-4.8901,4.3670,0.0483,-2.4576,7.6217,-1.4451,-4.9185,4.4266,0.1693,1.1614
R,-2.6294,7.3472,-1.7478,-4.8951,4.3695,0.0414,-2.6085,7.3893,-1.5773,-4.8554,4.3983,0.1258,7.1573
L,-2.7166,7.1024,-1.7379,-4.8993,4.3715,0.0345,-2.7146,7.1314,-1.6008,-4.8876,4.3959,0.1172,0.6648
R,-2.8033,6.8573,-1.7296,-4.9029,4.3732,0.0276,-2.7817,6.8986,-1.5441,-4.8904,4.4066,0.1236,1.2858
L,-2.8896,6.6121,-1.7230,-4.9057,4.3746,0.0207,-2.8282,6.6900,-1.4570,-4.8463,4.4203,0.1313,2.1101
R,-2.9756,6.3668,-1.7180,-4.9077,4.3757,0.0138,-2.8908,6.4699,-1.4293,-4.7695,4.4212,0.1180,4.1904
L,-3.0614,6.1214,-1.7146,-4.9091,4.3764,0.0069,-2.9489,6.2326,-1.3774,-4.7739,4.4315,0.1222,0.1237
R,-3.1471,5.8759,-1.7130,-4.9098,4.3767,-0.0000,-3.0667,5.9861,-1.4422,-4.8002,4.4205,0.1056,3.9876
L,-3.2327,5.6304,-1.7129,-4.9097,4.3767,-0.0069,-3.1516,5.7108,-1.4427,-4.8598,4.4238,0.1032,1.7647
R,-3.3184,5.3850,-1.7146,-4.9089,4.3764,-0.0138,-3.2592,5.4647,-1.5129,-4.8295,4.4088,0.0753,3.0484
L,-3.4042,5.1395,-1.7179,-4.9074,4.3757,-0.0207,-3.3560,5.2018,-1.5367,-4.8693,4.4067,0.0695,0.8248
R,-3.4903,4.8942,-1.7228,-4.9052,4.3746,-0.0276,-3.4293,4.9565,-1.5105,-4.8818,4.4123,0.0726,0.0256
L,-3.5766,4.6490,-1.7294,-4.9023,4.3732,-0.0345,-3.5438,4.6770,-1.5688,-4.9468,4.4053,0.0624,2.5831
R,-3.6633,4.4040,-1.7376,-4.8987,4.3715,-0.0414,-3.6546,4.4236,-1.6511,-4.9235,4.3888,0.0339,2.9928
L,-3.7504,4.1591,-1.7475,-4.8943,4.3695,-0.0483,-3.7859,4.1509,-1.7372,-4.9750,4.3764,0.0209,3.1578
R,-3.8381,3.9145,-1.7590,-4.8892,4.3670,-0.0552,-3.8723,3.9101,-1.7218,-4.9735,4.3791,0.0249,0.9702
L,-3.9263,3.6702,-1.7721,-4.8833,4.3643,-0.0621,-3.9442,3.6777,-1.6889,-4.9473,4.3834,0.0275,0.5172
R,-4.0153,3.4262,-1.7869,-4.8767,4.3612,-0.0689,-4.0474,3.4702,-1.7459,-4.8640,4.3678,0.0032,4.7263
L,-4.1051,3.1825,-1.8032,-4.8692,4.3577,-0.0758,-4.1373,3.2257,-1.7499,-4.8671,4.3672,0.0026,0.0122
R,-4.1957,2.9392,-1.8211,-4.8610,4.3539,-0.0826,-4.2561,2.9685,-1.8354,-4.8762,4.3524,-0.0187,1.3710
L,-4.2873,2.6963,-1.8406,-4.8520,4.3498,-0.0895,-4.3450,2.6952,-1.8362,-4.9229,4.3554,-0.0148,1.1454
R,-4.3798,2.4539,-1.8617,-4.8422,4.3453,-0.0963,-4.4352,2.4451,-1.8359,-4.9286,4.3558,-0.0134,0.0644
L,-4.4735,2.2120,-1.8844,-4.8315,4.3405,-0.1031,-4.5394,2.1807,-1.8603,-4.9613,4.3537,-0.0141,0.6977
R,-4.5684,1.9707,-1.9085,-4.8199,4.3354,-0.1098,-4.6502,1.9441,-1.9530,-4.9215,4.3346,-0.0453,4.7619
L,-4.6644,1.7300,-1.9342,-4.8075,4.3299,-0.1166,-4.7644,1.6713,-1.9909,-4.9682,4.3312,-0.0451,1.5515
R,-4.7619,1.4899,-1.9614,-4.7942,4.3240,-0.1233,-4.8898,1.4179,-2.0811,-4.9684,4.3157,-0.0650,1.0963
L,-4.8607,1.2505,-1.9901,-4.7799,4.3179,-0.1301,-4.9479,1.1856,-2.0225,-4.9242,4.3227,-0.0575,4.5865
R,-4.9609,1.0118,-2.0202,-4.7647,4.3114,-0.1368,-5.0450,0.9676,-2.0304,-4.8667,4.3171,-0.0608,1.1493
L,-5.0628,0.7739,-2.0517,-4.7485,4.3045,-0.1435,-5.1054,0.7372,-1.9816,-4.8297,4.3230,-0.0543,3.6447
R,-5.1662,0.5369,-2.0847,-4.7313,4.2974,-0.1501,-5.2009,0.4423,-2.0037,-4.9224,4.3258,-0.0519,5.0402
L,-5.2713,0.3007,-2.1191,-4.7130,4.2899,-0.1568,-5.2758,0.2036,-1.9779,-4.8999,4.3287,-0.0478,1.3552
R,-5.3782,0.0655,-2.1548,-4.6937,4.2820,-0.1634,-5.3856,-0.0356,-1.9779,-4.8838,4.3276,-0.0404,30.3563
L,-5.4869,-0.1688,-2.1918,-4.6733,4.2738,-0.1700,-5.4580,-0.2710,-1.9489,-4.8605,4.3311,-0.0364,1.4731
R,-5.5975,-0.4020,-2.2301,-4.6518,4.2653,-0.1765,-5.5763,-0.4577,-2.0172,-4.7577,4.3114,-0.0584,4.3359
L,-5.7100,-0.6341,-2.2697,-4.6292,4.2565,-0.1831,-5.7108,-0.6441,-2.0939,-4.6596,4.2901,-0.0778,3.3178
R,-5.8246,-0.8650,-2.3106,-4.6054,4.2474,-0.1896,-5.8236,-0.8781,-2.1809,-4.6681,4.2753,-0.0987,5.9402
L,-5.9412,-1.0947,-2.3526,-4.5803,4.2379,-0.1960,-5.9205,-1.1418,-2.1766,-4.7134,4.2798,-0.0883,0.9905
R,-6.0599,-1.3232,-2.3958,-4.5540,4.2281,-0.2025,-6.0110,-1.4077,-2.1667,-4.7625,4.2854,-0.0787,2.4221
L,-6.1809,-1.5503,-2.4401,-4.5265,4.2180,-0.2089,-6.1479,-1.6160,-2.2385,-4.6989,4.2678,-0.0930,1.4930
R,-6.3041,-1.7759,-2.4855,-4.4976,4.2075,-0.2153,-6.2873,-1.8617,-2.3741,-4.7340,4.2475,-0.1194,4.7910
L,-6.4295,-2.0001,-2.5320,-4.4674,4.1968,-0.2216,-6.3946,-2.1073,-2.3803,-4.7381,4.2468,-0.1140,0.2123
R,-6.5574,-2.2228,-2.5795,-4.4359,4.1857,-0.2279,-6.5435,-2.3152,-2.4614,-4.6675,4.2271,-0.1285,3.5871
L,-6.6876,-2.4439,-2.6279,-4.4029,4.1743,-0.2342,-6.6916,-2.5243,-2.5369,-4.6043,4.2088,-0.1410,0.9227
R,-6.8203,-2.6632,-2.6772,-4.3685,4.1626,-0.2404,-6.8446,-2.7429,-2.6280,-4.5684,4.1904,-0.1545,1.6049
L,-6.9555,-2.8808,-2.7274,-4.3326,4.1506,-0.2466,-6.9420,-3.0026,-2.5981,-4.6127,4.1994,-0.1369,1.6797
R,-7.0932,-3.0966,-2.7784,-4.2952,4.1382,-0.2528,-7.0712,-3.2267,-2.6161,-4.5771,4.1931,-0.1349,0.2081
L,-7.2334,-3.3105,-2.8302,-4.2563,4.1256,-0.2589,-7.1961,-3.4201,-2.6485,-4.4988,4.1803,-0.1424,1.5906
R,-7.3763,-3.5224,-2.8827,-4.2159,4.1126,-0.2650,-7.3427,-3.6680,-2.6945,-4.5188,4.1747,-0.1399,4.3432
L,-7.5218,-3.7322,-2.9358,-4.1738,4.0994,-0.2710,-7.4976,-3.8108,-2.7828,-4.3498,4.1433,-0.1671,5.7213
R,-7.6700,-3.9399,-2.9895,-4.1301,4.0858,-0.2770,-7.6403,-4.0233,-2.8391,-4.3271,4.1317,-0.1720,0.5793
L,-7.8209,-4.1454,-3.0438,-4.0848,4.0720,-0.2829,-7.7978,-4.2467,-2.8971,-4.3117,4.1208,-0.1739,0.4917
R,-7.9746,-4.3485,-3.0986,-4.0378,4.0578,-0.2888,-7.9483,-4.4664,-2.9399,-4.2929,4.1119,-0.1738,0.3618
L,-8.1310,-4.5493,-3.1538,-3.9891,4.0434,-0.2947,-8.1137,-4.6988,-2.9995,-4.2940,4.1027,-0.1736,1.1573
R,-8.2901,-4.7476,-3.2093,-3.9386,4.0287,-0.3005,-8.2552,-4.8992,-2.9785,-4.2153,4.0973,-0.1663,2.4544
L,-8.4520,-4.9433,-3.2651,-3.8864,4.0136,-0.3063,-8.3922,-5.1121,-2.9926,-4.1990,4.0932,-0.1621,0.1755
R,-8.6168,-5.1364,-3.3212,-3.8324,3.9983,-0.3120,-8.5383,-5.2796,-2.9961,-4.0797,4.0790,-0.1661,4.0726
L,-8.7843,-5.3267,-3.3774,-3.7766,3.9827,-0.3177,-8.7289,-5.4781,-3.0940,-4.0343,4.0581,-0.1784,1.9276
R,-8.9547,-5.5142,-3.4338,-3.7190,3.9668,-0.3233,-8.8882,-5.6749,-3.1270,-3.9912,4.0478,-0.1791,0.3526
L,-9.1279,-5.6987,-3.4901,-3.6596,3.9507,-0.3288,-9.0471,-5.8588,-3.1694,-3.9374,4.0346,-0.1836,0.1836
R,-9.3039,-5.8803,-3.5464,-3.5982,3.9342,-0.3344,-9.1861,-6.0150,-3.1510,-3.8237,4.0231,-0.1846,6.2103
L,-9.4827,-6.0587,-3.6026,-3.5350,3.9175,-0.3398,-9.3596,-6.1234,-3.2265,-3.6531,3.9889,-0.2110,5.1667
R,-9.6643,-6.2339,-3.6586,-3.4699,3.9005,-0.3452,-9.5340,-6.3078,-3.2833,-3.6192,3.9756,-0.2136,0.9708
L,-9.8487,-6.4058,-3.7143,-3.4029,3.8833,-0.3506,-9.6808,-6.5079,-3.2899,-3.6238,3.9752,-0.2031,0.3456
R,-10.0359,-6.5743,-3.7697,-3.3340,3.8657,-0.3559,-9.8962,-6.6770,-3.4374,-3.5758,3.9467,-0.2229,7.3302
L,-10.2259,-6.7393,-3.8246,-3.2632,3.8479,-0.3611,-10.0998,-6.8407,-3.5277,-3.5017,3.9233,-0.2350,0.8696
R,-10.4186,-6.9008,-3.8791,-3.1905,3.8299,-0.3663,-10.2821,-7.0064,-3.5946,-3.4562,3.9074,-0.2400,1.1132
L,-10.6140,-7.0585,-3.9329,-3.1158,3.8116,-0.3714,-10.5129,-7.1852,-3.7127,-3.4038,3.8836,-0.2511,3.8410
R,-10.8121,-7.2124,-3.9861,-3.0392,3.7930,-0.3765,-10.7137,-7.3340,-3.7909,-3.3233,3.8614,-0.2613,2.1257
L,-11.0128,-7.3625,-4.0386,-2.9606,3.7742,-0.3815,-10.9608,-7.4948,-3.9228,-3.2403,3.8320,-0.2769,3.9246
R,-11.2161,-7.5086,-4.0902,-2.8802,3.7551,-0.3865,-11.1465,-7.6389,-3.9364,-3.1512,3.8167,-0.2783,1.2894
L,-11.4220,-7.6506,-4.1409,-2.7978,3.7358,-0.3913,-11.3035,-7.7841,-3.9189,-3.0957,3.8102,-0.2716,2.8970
R,-11.6304,-7.7885,-4.1907,-2.7135,3.7162,-0.3962,-11.4956,-7.9158,-3.9485,-3.0011,3.7915,-0.2768,1.9109
L,-11.8413,-7.9221,-4.2393,-2.6273,3.6964,-0.4009,-11.6778,-8.0183,-3.9718,-2.8746,3.7681,-0.2870,3.2440
R,-12.0546,-8.0513,-4.2868,-2.5392,3.6764,-0.4056,-11.8672,-8.1365,-3.9600,-2.7521,3.7489,-0.2916,1.8928
L,-12.2702,-8.1761,-4.3331,-2.4493,3.6561,-0.4103,-12.0829,-8.2273,-4.0294,-2.6105,3.7165,-0.3096,1.1464
R,-12.4881,-8.2963,-4.3780,-2.3576,3.6356,-0.4148,-12.3067,-8.3604,-4.1506,-2.5799,3.6977,-0.3126,2.8371
L,-12.7082,-8.4119,-4.4216,-2.2640,3.6148,-0.4193,-12.5126,-8.4394,-4.1909,-2.4331,3.6676,-0.3273,2.1827
R,-12.9304,-8.5228,-4.4636,-2.1686,3.5939,-0.4238,-12.7127,-8.5339,-4.1806,-2.3010,3.6447,-0.3343,1.8898
L,-13.1547,-8.6289,-4.5041,-2.0715,3.5727,-0.4282,-12.9926,-8.6224,-4.3223,-2.1557,3.6042,-0.3570,4.8902
R,-13.3810,-8.7300,-4.5429,-1.9727,3.5513,-0.4325,-13.2375,-8.7295,-4.4252,-2.0826,3.5815,-0.3610,2.9619
L,-13.6092,-8.8262,-4.5800,-1.8721,3.5296,-0.4367,-13.4621,-8.7743,-4.4674,-1.9011,3.5439,-0.3805,2.5175
R,-13.8392,-8.9173,-4.6152,-1.7700,3.5078,-0.4409,-13.6695,-8.8292,-4.4300,-1.7271,3.5133,-0.3938,4.2150
L,-14.0709,-9.0032,-4.6486,-1.6662,3.4858,-0.4450,-13.9059,-8.9259,-4.4837,-1.6546,3.4951,-0.3920,0.6528
R,-14.3043,-9.0840,-4.6800,-1.5609,3.4635,-0.4490,-14.1564,-9.0191,-4.6027,-1.6077,3.4776,-0.3877,2.8812
L,-14.5391,-9.1594,-4.7094,-1.4540,3.4411,-0.4529,-14.3886,-9.1169,-4.6347,-1.5529,3.4649,-0.3811,0.3525
R,-14.7754,-9.2294,-4.7366,-1.3457,3.4184,-0.4568,-14.6157,-9.1911,-4.6415,-1.4558,3.4455,-0.3821,0.2555
L,-15.0130,-9.2940,-4.7616,-1.2360,3.3956,-0.4606,-14.9017,-9.1930,-4.7445,-1.2182,3.3929,-0.4143,2.9654
R,-15.2517,-9.3530,-4.7844,-1.1250,3.3725,-0.4644,-15.1589,-9.2681,-4.7987,-1.1415,3.3751,-0.4110,4.4225
L,-15.4916,-9.4065,-4.8048,-1.0127,3.3493,-0.4680,-15.4323,-9.3677,-4.8683,-1.1096,3.3657,-0.3995,4.9959
R,-15.7324,-9.4543,-4.8228,-0.8992,3.3259,-0.4716,-15.6718,-9.4039,-4.8380,-0.9571,3.3369,-0.4108,2.1916
L,-15.9741,-9.4964,-4.8383,-0.7845,3.3023,-0.4752,-15.9355,-9.4767,-4.8871,-0.8983,3.3234,-0.4037,1.9590
R,-16.2164,-9.5328,-4.8512,-0.6687,3.2786,-0.4786,-16.1834,-9.4934,-4.8819,-0.7363,3.2913,-0.4169,2.4721
L,-16.4594,-9.5633,-4.8616,-0.5520,3.2546,-0.4820,-16.4367,-9.4868,-4.9069,-0.5556,3.2543,-0.4324,0.8176
R,-16.7027,-9.5880,-4.8693,-0.4343,3.2305,-0.4853,-16.6515,-9.4930,-4.8503,-0.4161,3.2272,-0.4400,5.2588
L,-16.9464,-9.6067,-4.8743,-0.3158,3.2063,-0.4885,-16.9375,-9.4764,-4.9149,-0.2269,3.1877,-0.4563,1.8761
R,-17.1903,-9.6195,-4.8765,-0.1965,3.1819,-0.4916,-17.1916,-9.5289,-4.9559,-0.2034,3.1826,-0.4372,7.4948
L,-17.4342,-9.6264,-4.8758,-0.0765,3.1573,-0.4947,-17.4554,-9.5402,-4.9816,-0.0956,3.1608,-0.4370,0.4790
R,-17.6781,-9.6272,-4.8723,0.0441,3.1325,-0.4977,-17.7113,-9.5337,-4.9691,0.0429,3.1330,-0.4446,1.7530
L,-17.9216,-9.6219,-4.8659,0.1652,3.1077,-0.5006,-17.9678,-9.4998,-4.9751,0.2103,3.0994,-0.4554,0.3637
R,-18.1648,-9.6106,-4.8565,0.2866,3.0826,-0.5034,-18.2091,-9.4689,-4.9293,0.3660,3.0675,-0.4670,0.8541
L,-18.4074,-9.5933,-4.8441,0.4085,3.0575,-0.5061,-18.4157,-9.5011,-4.8724,0.3683,3.0661,-0.4464,1.8933
R,-18.6493,-9.5698,-4.8286,0.5305,3.0322,-0.5088,-18.6523,-9.4863,-4.8759,0.4535,3.0489,-0.4395,1.6740
L,-18.8904,-9.5402,-4.8101,0.6527,3.0067,-0.5114,-18.9026,-9.4724,-4.8755,0.5419,3.0309,-0.4357,0.2400
R,-19.1305,-9.5045,-4.7885,0.7749,2.9812,-0.5139,-19.1329,-9.4342,-4.8608,0.6519,3.0083,-0.4348,3.9791
L,-19.3694,-9.4626,-4.7638,0.8971,2.9555,-0.5163,-19.3780,-9.3218,-4.8376,0.8990,2.9579,-0.4620,3.2509
R,-19.6069,-9.4147,-4.7359,1.0191,2.9296,-0.5186,-19.6093,-9.2530,-4.7696,1.0575,2.9234,-0.4763,1.2778
L,-19.8431,-9.3607,-4.7049,1.1408,2.9037,-0.5209,-19.8627,-9.1330,-4.7497,1.2935,2.8757,-0.4987,1.7602
R,-20.0775,-9.3006,-4.6707,1.2622,2.8777,-0.5231,-20.0984,-9.0369,-4.7056,1.4641,2.8400,-0.5092,5.1813
L,-20.3102,-9.2345,-4.6333,1.3830,2.8515,-0.5252,-20.2754,-9.1405,-4.6261,1.2405,2.8796,-0.4487,13.7696
R,-20.5409,-9.1623,-4.5927,1.5033,2.8253,-0.5272,-20.5150,-9.0946,-4.6262,1.3077,2.8661,-0.4384,1.5727
L,-20.7696,-9.0841,-4.5490,1.6230,2.7989,-0.5291,-20.7364,-9.0003,-4.5802,1.4535,2.8343,-0.4478,0.7137
R,-20.9959,-8.9999,-4.5020,1.7418,2.7724,-0.5310,-20.9786,-8.9201,-4.5569,1.5714,2.8095,-0.4510,2.4545
L,-21.2198,-8.9099,-4.4519,1.8597,2.7459,-0.5327,-21.1749,-8.8499,-4.4813,1.6457,2.7896,-0.4487,1.2835
R,-21.4412,-8.8139,-4.3986,1.9767,2.7193,-0.5344,-21.4082,-8.7632,-4.4434,1.7564,2.7652,-0.4524,1.9144
L,-21.6597,-8.7122,-4.3422,2.0925,2.6925,-0.5360,-21.6010,-8.7318,-4.3753,1.7448,2.7621,-0.4343,1.7901
R,-21.8754,-8.6047,-4.2827,2.2071,2.6657,-0.5375,-21.7916,-8.6005,-4.2309,1.9227,2.7151,-0.4667,6.6190
L,-22.0881,-8.4914,-4.2201,2.3204,2.6389,-0.5389,-21.9956,-8.5214,-4.1807,1.9853,2.6983,-0.4607,0.1678
R,-22.2975,-8.3726,-4.1544,2.4323,2.6119,-0.5403,-22.2049,-8.4129,-4.1548,2.0879,2.6759,-0.4570,1.9321
L,-22.5035,-8.2482,-4.0856,2.5427,2.5849,-0.5415,-22.4367,-8.3126,-4.1419,2.1773,2.6576,-0.4526,1.2126
R,-22.7061,-8.1183,-4.0139,2.6515,2.5578,-0.5427,-22.6275,-8.1991,-4.0536,2.2754,2.6301,-0.4599,0.9550
L,-22.9049,-7.9830,-3.9392,2.7585,2.5307,-0.5438,-22.8672,-7.9669,-4.0188,2.5824,2.5705,-0.4934,6.2064
R,-23.1000,-7.8424,-3.8616,2.8637,2.5035,-0.5448,-23.0569,-7.8253,-3.8822,2.7115,2.5319,-0.5157,4.0860
L,-23.2911,-7.6966,-3.7812,2.9670,2.4763,-0.5457,-23.2883,-7.6474,-3.8497,2.8916,2.4974,-0.5233,2.3654
R,-23.4781,-7.5457,-3.6979,3.0683,2.4490,-0.5465,-23.4865,-7.5039,-3.8152,2.9784,2.4788,-0.5110,1.3538
L,-23.6609,-7.3898,-3.6119,3.1675,2.4217,-0.5472,-23.6542,-7.3585,-3.7113,3.0592,2.4522,-0.5121,0.6782
R,-23.8393,-7.2290,-3.5232,3.2645,2.3943,-0.5479,-23.8441,-7.1982,-3.6471,3.1616,2.4274,-0.5098,0.8494
L,-24.0132,-7.0634,-3.4319,3.3592,2.3669,-0.5484,-24.0054,-7.1003,-3.5601,3.1410,2.4186,-0.4951,1.8618
R,-24.1825,-6.8931,-3.3380,3.4515,2.3395,-0.5489,-24.1731,-6.9214,-3.4449,3.2643,2.3831,-0.5083,2.1295
L,-24.3470,-6.7182,-3.2417,3.5414,2.3120,-0.5493,-24.3375,-6.6718,-3.3220,3.4937,2.3310,-0.5321,3.6787
R,-24.5066,-6.5390,-3.1429,3.6287,2.2846,-0.5496,-24.5042,-6.4975,-3.2033,3.5839,2.3002,-0.5418,3.6390
L,-24.6612,-6.3554,-3.0418,3.7135,2.2571,-0.5498,-24.6041,-6.3563,-3.0402,3.5874,2.2738,-0.5419,5.3095
R,-24.8107,-6.1676,-2.9385,3.7955,2.2296,-0.5500,-24.7439,-6.1688,-2.9192,3.6775,2.2417,-0.5479,0.4022
L,-24.9550,-5.9759,-2.8330,3.8748,2.2021,-0.5500,-24.9278,-5.9611,-2.8659,3.8025,2.2167,-0.5453,2.6296
R,-25.0940,-5.7802,-2.7254,3.9513,2.1746,-0.5500,-25.0577,-5.7576,-2.7425,3.8959,2.1842,-0.5498,1.9312
L,-25.2276,-5.5808,-2.6158,4.0249,2.1471,-0.5498,-25.1910,-5.5829,-2.6412,3.9333,2.1621,-0.5451,0.2241
R,-25.3556,-5.3778,-2.5043,4.0956,2.1196,-0.5496,-25.3417,-5.3953,-2.5956,3.9858,2.1480,-0.5273,1.1403
L,-25.4779,-5.1713,-2.3911,4.1632,2.0921,-0.5493,-25.4857,-5.1686,-2.5047,4.0989,2.1193,-0.5290,0.6608
R,-25.5946,-4.9615,-2.2761,4.2278,2.0647,-0.5489,-25.6149,-4.9895,-2.4538,4.1134,2.1087,-0.5066,6.4506
L,-25.7055,-4.7486,-2.1596,4.2893,2.0372,-0.5484,-25.7273,-4.8139,-2.3482,4.1212,2.0887,-0.5022,0.5066
R,-25.8105,-4.5327,-2.0415,4.3476,2.0098,-0.5479,-25.8481,-4.6077,-2.2698,4.1757,2.0687,-0.4940,0.3398
L,-25.9096,-4.3139,-1.9220,4.4028,1.9824,-0.5472,-25.9593,-4.3632,-2.1551,4.2865,2.0367,-0.5002,0.5652
R,-26.0027,-4.0925,-1.8012,4.4547,1.9550,-0.5465,-26.0713,-4.1440,-2.0025,4.3529,2.0020,-0.5209,10.8022
L,-26.0897,-3.8686,-1.6793,4.5034,1.9277,-0.5457,-26.1635,-3.8604,-1.8567,4.5067,1.9616,-0.5332,2.1124
R,-26.1706,-3.6423,-1.5562,4.5487,1.9004,-0.5448,-26.2398,-3.6255,-1.6592,4.5718,1.9189,-0.5596,3.7322
L,-26.2453,-3.4138,-1.4322,4.5908,1.8732,-0.5438,-26.2717,-3.3594,-1.4444,4.6622,1.8712,-0.5771,4.6674
